time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.0019222063320094e-07,-9.350812291171912e-08,10.005548322173357,6.283030188813072,6.283002385906336,0.0,1.286993296973204e-05,-1.134100210323092e-05,0.18493149587721763,-0.008335284271872287,-0.009975802599888756,0.0,462.710507374902,461.92470037758983,464.1377854449225,463.4833205485484
0.12000000000000001,9.045368747016524e-06,-6.910897852483052e-06,10.02716881431434,6.283034165596295,6.2824926506964776,0.0,0.00036216630568870767,-0.00024509858774430496,0.5356539414888528,0.013056865297774018,-0.005688271469062989,0.0,510.6820309297413,510.987843728379,509.12489305176985,510.6529166131589
0.18,4.5259589083925847e-05,-2.0847578290169168e-05,10.060742336458492,0.0013398519649676643,6.2820614791138265,0.0,0.000881197109743049,-0.00010583202379155628,0.5834398654450795,0.04163018068194617,-0.010364323542190851,0.0,420.64818498065006,420.2432261881529,418.94855733826375,421.4253926762238
0.23999999999999996,0.00012462228300783766,1.118361446030404e-05,10.099402317978175,0.0037977538943190225,6.28128227276261,0.0,0.0018372246391582352,0.001434177190319359,0.7051577998488439,0.039600783861386865,-0.018828552734567756,0.0,443.461519061633,442.7659187091237,445.18665772611615,445.0214786059827
0.3,0.0002844136219195816,0.00019829369506979146,10.14761939491975,0.00693299323807306,6.280347111886218,0.0,0.0036081850910680948,0.005131723900259644,0.9019415024982129,0.06990200991994261,-0.009783053605113522,0.0,466.83620351936923,467.54148552394764,465.9013719225798,468.26565092063976
0.36000000000000004,0.0005622977255257065,0.000667322931983904,10.204910339726286,0.01156039807183884,6.279759498240281,0.0,0.005714764916639773,0.010958562677436908,1.007664974378559,0.08863462823168203,-0.009814583501340728,0.0,438.7317916223548,438.72929627843575,439.608812215127,441.162760992389
0.4200000000000001,0.000976635049030945,0.0015786244921605233,10.26794823421799,0.01662468429077535,6.279269316943889,0.0,0.008149919779222952,0.019937529846090523,1.093512414238671,0.07421980784641125,-0.0050676235288527926,0.0,432.97391085115356,433.3731628324764,434.316713568658,433.11213836352357
0.48000000000000015,0.0015418975851693485,0.003109858708485766,10.335089020963327,0.02122975262732396,6.278909806674054,0.0,0.010723336461419848,0.03153222142416612,1.1444557878889416,0.0813833312593057,-0.007907542497575375,0.0,421.0420994013871,420.7964552367882,423.37674995374124,423.99753245249235
0.5400000000000001,0.002284076306170544,0.005503803269540836,10.408756690928568,0.026458596938429224,6.277991703825531,0.0,0.014085022735305422,0.04882962234460241,1.3109432300343757,0.09671086092534319,-0.03727672350264712,0.0,459.5828744560692,457.2494072113341,458.7338448225064,459.9551391956894
0.6000000000000002,0.0032576114401748997,0.009064227720823725,10.492652914534755,0.03183800862520325,6.275771584923277,0.0,0.018616883176600145,0.07048419843489132,1.4853667604305094,0.06930019246215413,-0.036458209561889186,0.0,462.05275284530876,462.11669156281215,462.385651448706,460.22751704900446
0.6600000000000003,0.004535695485147173,0.013964860695427912,10.584695783806476,0.03630988339441732,6.273419837668817,0.0,0.024214904528701873,0.09330575519941413,1.5825813711025833,0.08334437395832851,-0.045324500115007424,0.0,438.82176976560993,438.08440898819396,437.6259319545579,438.7976388668392
0.7200000000000003,0.0061734167279299985,0.020233586501873256,10.679970739582256,0.04192874152199,6.270452156081451,0.0,0.030626781846301795,0.11612701846113246,1.593213200625926,0.10882935556020433,-0.05937742696400756,0.0,410.9902355823121,409.7410807899041,409.050411211527,411.32137714980956
0.7800000000000004,0.008340954275095598,0.0282677100536366,10.782529991893982,0.05021794091377885,6.266426602743213,0.0,0.04207132187504791,0.15259712691874677,1.8250366412718293,0.16779019047861013,-0.0906743386573756,0.0,481.05730189849527,478.6783677732552,477.0413660589898,481.5361463794908
0.8400000000000004,0.011238207772475486,0.03851599078649104,10.895334875138728,0.0602378711670557,6.260653976791968,0.0,0.055077894561454774,0.1900407587231777,1.9348752702315344,0.1653695579785493,-0.11057146355162815,0.0,444.12621131554187,442.48318801540137,444.0363467760635,443.8644380728754
0.9000000000000005,0.015003760035814533,0.051121181694040646,11.013123936843028,0.06976826486109111,6.253929997078094,0.0,0.07107726945687219,0.23105835165794314,1.9912483618727121,0.14075182562593655,-0.11523442290806764,0.0,427.6149593285112,427.20586109369106,427.7602860075536,425.6835008312274
0.9600000000000005,0.01989540781959578,0.06644888089387628,11.135432193386041,0.07858207184635724,6.247428609241897,0.0,0.09264962977414805,0.28072472225086215,2.0854320579620973,0.15697918902252933,-0.09729343143652157,0.0,438.8031966884058,440.2792671053283,439.0640481367356,440.4284579572459
1.0200000000000005,0.026286462852293534,0.08510370473887593,11.265404687850491,0.08830847008719278,6.241545764005785,0.0,0.12102650654272043,0.34213846036539075,2.2465560173024985,0.17076534021662299,-0.0995984785046546,0.0,461.36364648914235,461.17375986833247,460.1653672721451,461.2791502635957
1.0800000000000005,0.034498212828574355,0.10763222986123688,11.404664121232747,0.09854928425000331,6.235493311929032,0.0,0.15334370918745388,0.40989716461467707,2.394975487200332,0.17050972693855485,-0.10355390148855828,0.0,458.3987012212287,458.07581475944494,457.86204414425464,457.8687149468068
1.1400000000000006,0.0450152762958193,0.13492622950845443,11.557504234194013,0.10917933482551678,6.228853101181956,0.0,0.19803554385784802,0.5012072278999394,2.6988148979359794,0.187935497539301,-0.13130259139905034,0.0,505.91458304604356,503.90303372208393,502.9762585450038,504.26258597096904
